"businessId","personId","category","wealthSource","industries"
"1","1","Fashion & Retail","LVMH","Fashion & Retail"
"2","2","Automotive","Tesla, SpaceX","Automotive"
"3","3","Technology","Amazon","Technology"
"4","4","Technology","Oracle","Technology"
"5","5","Finance & Investments","Berkshire Hathaway","Finance & Investments"
"6","6","Technology","Microsoft","Technology"
"7","7","Media & Entertainment","Bloomberg LP","Media & Entertainment"
"8","8","Telecom","Telecom","Telecom"
"9","9","Diversified","Diversified","Diversified"
"10","10","Technology","Microsoft","Technology"
"11","11","Fashion & Retail","L'Oréal","Fashion & Retail"
"12","12","Technology","Google","Technology"
"13","13","Fashion & Retail","Zara","Fashion & Retail"
"14","14","Technology","Google","Technology"
"15","15","Food & Beverage","Beverages, pharmaceuticals","Food & Beverage"
"16","16","Technology","Facebook","Technology"
"17","17","Diversified","Koch Industries","Diversified"
"18","18","Diversified","Koch Industries","Diversified"
"19","19","Fashion & Retail","Walmart","Fashion & Retail"
"20","20","Fashion & Retail","Walmart","Fashion & Retail"
"21","21","Fashion & Retail","Walmart","Fashion & Retail"
"22","22","Media & Entertainment","Media","Media & Entertainment"
"23","23","Technology","Dell Technologies","Technology"
"24","24","Diversified","Infrastructure, commodities","Diversified"
"25","25","Fashion & Retail","Nike","Fashion & Retail"
"26","26","Technology","TikTok","Technology"
"27","27","Fashion & Retail","Retail","Fashion & Retail"
"28","28","Fashion & Retail","Luxury goods","Fashion & Retail"
"29","29","Logistics","Shipping","Logistics"
"30","30","Food & Beverage","Nutella, chocolates","Food & Beverage"
"31","31","Food & Beverage","Candy, pet food","Food & Beverage"
"32","32","Food & Beverage","Candy, pet food","Food & Beverage"
"33","33","Diversified","Diversified","Diversified"
"34","34","Technology","Internet media","Technology"
"35","35","Gambling & Casinos","Casinos","Gambling & Casinos"
"36","36","Finance & Investments","Hedge funds","Finance & Investments"
"37","37","Food & Beverage","Red Bull","Food & Beverage"
"38","38","Automotive","Batteries","Automotive"
"39","39","Fashion & Retail","Fashion retail","Fashion & Retail"
"40","40","Diversified","Music, chemicals","Diversified"
"41","41","Fashion & Retail","Chanel","Fashion & Retail"
"42","42","Fashion & Retail","Chanel","Fashion & Retail"
"43","43","Logistics","Shipping","Logistics"
"44","44","Logistics","Shipping","Logistics"
"45","45","Technology","E-commerce","Technology"
"46","46","Manufacturing","Fasteners","Manufacturing"
