"demographicsId","country","populationCountry"
"1","France","67059887"
"2","United States","328239523"
"3","Mexico","126014024"
"4","India","1366417754"
"5","Spain","47076781"
"6","China","1397715000"
"7","Canada","36991981"
"8","Germany","83132799"
"9","Switzerland","8574832"
"10","Belgium","11484055"
"11","Hong Kong","7491609"
"12","Austria","8877067"
"13","Japan","126226568"
"14","United Kingdom","66834405"
"15","Australia","25766605"
"16","Indonesia","270203917"
"17","United Arab Emirates","9770529"
"18","Russia","144373535"
"19","Chile","18952038"
"20","Monaco","38964"
"21","Czech Republic","10669709"
"22","Sweden","10285453"
"23","Thailand","69625582"
"24","Uzbekistan","33580650"
"25","Singapore","5703569"
"26","Nigeria","200963599"
"27","Israel","9053300"
"28","Italy","60297396"
"29","South Africa","58558270"
"30","Brazil","212559417"
"31","Malaysia","32447385"
"32","South Korea","51709098"
"33","New Zealand","4841000"
"34","Philippines","108116615"
"35","Taiwan","23923276"
"36","Norway","5347896"
"37","Egypt","100388073"
"38","Denmark","5818553"
"39","Eswatini (Swaziland)","1210822"
"40","Colombia","50339443"
"41","Netherlands","17332850"
"42","Poland","37970874"
"43","Bahamas","412623"
"44","Ukraine","44385155"
"45","Cayman Islands","69310"
"46","Greece","10716322"
"47","Turkey","83429615"
"48","Argentina","44938712"
"49","Georgia","3720382"
"50","Portugal","10269417"
"51","Kazakhstan","18513930"
"52","Algeria","43053054"
"53","Vietnam","96462106"
"54","Latvia","1912789"
"55","Finland","5520314"
"56","Bermuda","64069"
"57","Luxembourg","645397"
"58","British Virgin Islands","31538"
"59","Cambodia","16486542"
"60","Lebanon","6855713"
"61","Oman","5266535"
"62","Ireland","5056935"
"63","Cyprus","1198575"
"64","Guernsey","64600"
"65","Liechtenstein","38019"
"66","Turks and Caicos Islands","46062"
"67","Romania","19356544"
"68","Qatar","2832067"
"69","Uruguay","3461734"
"70","Nepal","28608710"
"71","Slovakia","5454073"
"72","Morocco","36910560"
"73","Hungary","9769949"
"74","Tanzania","58005463"
"75","Bahrain","1501635"
"76","Peru","32510453"
"77","Andorra","77142"
"78","Armenia","2957731"
"79","Panama","4468087"
