"locationId","city","country","latitudeCountry","longitudeCountry"
"1","Paris","France","46.227638","2.213749"
"2","Washington, D.C.","United States","37.09024","-95.712891"
"3","Mexico City","Mexico","23.634501","-102.552784"
"4","New Delhi","India","20.593684","78.96288"
"5","Madrid","Spain","40.463667","-3.74922"
"6","Beijing","China","35.86166","104.195397"
"7","Ottawa","Canada","56.130366","-106.346771"
"8","Berlin","Germany","51.165691","10.451526"
"9","Berlin","Switzerland","46.818188","8.227512"
"10","Rome","Belgium","50.503887","4.469936"
"11","Hong Kong","Hong Kong","22.396428","114.109497"
"12","Vienna","Austria","47.516231","14.550072"
"13","Hong Kong","China","35.86166","104.195397"
"14","Tokyo","Japan","36.204824","138.252924"
"15","Washington, D.C.","United Kingdom","55.378051","-3.435973"
"16","Paris","United States","37.09024","-95.712891"
"17","Bern","Switzerland","46.818188","8.227512"
"18","Canberra","Australia","-25.274398","133.775136"
"19","Jakarta","Indonesia","-0.789275","113.921327"
"20","Moscow","United Arab Emirates","23.424076","53.847818"
"21","Moscow","Russia","61.52401","105.318756"
"22","Santiago","Chile","-35.675147","-71.542969"
"23","London","United Kingdom","55.378051","-3.435973"
"24","Jerusalem","Monaco","43.7384176","7.4246158"
"25","New Delhi","United Kingdom","55.378051","-3.435973"
"26","Brasília","Switzerland","46.818188","8.227512"
"27","Prague","Czech Republic","49.817492","15.472962"
"28","Singapore","China","35.86166","104.195397"
"29","Stockholm","Sweden","60.128161","18.643501"
"30","London","Switzerland","46.818188","8.227512"
"31","Bangkok","Thailand","15.870032","100.992541"
"32","Amsterdam","United Kingdom","55.378051","-3.435973"
"33","Moscow","Uzbekistan","41.377491","64.585262"
"34","Singapore","Singapore","1.352083","103.819836"
"35","Abuja","Nigeria","9.081999","8.675277"
"36","Jerusalem","United Kingdom","55.378051","-3.435973"
"37","Nicosia","United Kingdom","55.378051","-3.435973"
"38","Moscow","United Kingdom","55.378051","-3.435973"
"39","Kuala Lumpur","Hong Kong","22.396428","114.109497"
"40","Abu Dhabi","United Arab Emirates","23.424076","53.847818"
"41","Moscow","Israel","31.046051","34.851612"
"42","Moscow","Switzerland","46.818188","8.227512"
"43","Rome","Italy","41.87194","12.56738"
"44","Pretoria","South Africa","-30.559482","22.937506"
"45","Brasília","Brazil","-14.235004","-51.92528"
"46","Ottawa","United Arab Emirates","23.424076","53.847818"
"47","Brasília","Singapore","1.352083","103.819836"
"48","Kuala Lumpur","Malaysia","4.210484","101.975766"
"49","Nicosia","United Arab Emirates","23.424076","53.847818"
"50","Paris","Switzerland","46.818188","8.227512"
"51","Washington, D.C.","South Korea","35.907757","127.766922"
"52","Ottawa","United States","37.09024","-95.712891"
"53","Stockholm","United Kingdom","55.378051","-3.435973"
"54","Paris","United Kingdom","55.378051","-3.435973"
"55","Wellington","New Zealand","-40.900557","174.885971"
"56","Manila","Philippines","12.879721","121.774017"
"57","Berlin","United States","37.09024","-95.712891"
"58","Washington, D.C.","Australia","-25.274398","133.775136"
"59","Monaco","Monaco","43.7384176","7.4246158"
"60","Prague","Switzerland","46.818188","8.227512"
"61","Brussels","Monaco","43.7384176","7.4246158"
"62","Seoul","South Korea","35.907757","127.766922"
"63","Taipei","Taiwan","23.69781","120.960515"
"64","Oslo","Norway","60.472024","8.468946"
"65","Ottawa","Hong Kong","22.396428","114.109497"
"66","Jakarta","United Kingdom","55.378051","-3.435973"
"67","Cairo","Egypt","26.820553","30.802498"
"68","Copenhagen","Denmark","56.26392","9.501785"
"69","Bern","United Arab Emirates","23.424076","53.847818"
"70","Stockholm","Switzerland","46.818188","8.227512"
"71","Dublin","India","20.593684","78.96288"
"72","Jerusalem","United States","37.09024","-95.712891"
"73","Mbabane","Eswatini (Swaziland)","-26.522503","31.465866"
"74","London","Monaco","43.7384176","7.4246158"
"75","Moscow","France","46.227638","2.213749"
