"personId","personName","gender","birthDate","lastName","firstName","countryOfCitizenship","age"
"1","Bernard Arnault & family","M","1949-03-05 00:00:00","Arnault","Bernard","France","74"
"2","Elon Musk","M","1971-06-28 00:00:00","Musk","Elon","United States","52"
"3","Jeff Bezos","M","1964-01-12 00:00:00","Bezos","Jeff","United States","59"
"4","Larry Ellison","M","1944-08-17 00:00:00","Ellison","Larry","United States","79"
"5","Warren Buffett","M","1930-08-30 00:00:00","Buffett","Warren","United States","93"
"6","Bill Gates","M","1955-10-28 00:00:00","Gates","Bill","United States","68"
"7","Michael Bloomberg","M","1942-02-14 00:00:00","Bloomberg","Michael","United States","81"
"8","Carlos Slim Helu & family","M","1940-01-28 00:00:00","Slim Helu","Carlos","Mexico","83"
"9","Mukesh Ambani","M","1957-04-19 00:00:00","Ambani","Mukesh","India","66"
"10","Steve Ballmer","M","1956-03-24 00:00:00","Ballmer","Steve","United States","67"
"11","Francoise Bettencourt Meyers & family","F","1953-07-10 00:00:00","Bettencourt Meyers","Francoise","France","70"
"12","Larry Page","M","1973-03-26 00:00:00","Page","Larry","United States","50"
"13","Amancio Ortega","M","1936-03-28 00:00:00","Ortega","Amancio","Spain","87"
"14","Sergey Brin","M","1973-08-21 00:00:00","Brin","Sergey","United States","50"
"15","Zhong Shanshan","M","1954-12-01 00:00:00","Zhong","Shanshan","China","69"
"16","Mark Zuckerberg","M","1984-05-14 00:00:00","Zuckerberg","Mark","United States","39"
"17","Charles Koch & family","M","1935-11-01 00:00:00","Koch","Charles","United States","88"
"18","Julia Koch & family","F","1962-04-12 00:00:00","Koch","Julia","United States","61"
"19","Jim Walton","M","1948-06-07 00:00:00","Walton","Jim","United States","75"
"20","Rob Walton & family","M","1944-10-27 00:00:00","Walton","Rob","United States","79"
"21","Alice Walton","F","1949-10-07 00:00:00","Walton","Alice","United States","74"
"22","David Thomson & family","M","1957-06-12 00:00:00","Thomson","David","Canada","66"
"23","Michael Dell","M","1965-02-23 00:00:00","Dell","Michael","United States","58"
"24","Gautam Adani","M","1962-06-24 00:00:00","Adani","Gautam","India","61"
"25","Phil Knight & family","M","1938-02-24 00:00:00","Knight","Phil","United States","85"
"26","Zhang Yiming","M","1984-01-01 00:00:00","Zhang","Yiming","China","39"
"27","Dieter Schwarz","M","1939-09-24 00:00:00","Schwarz","Dieter","Germany","84"
"28","François Pinault & family","M","1936-08-21 00:00:00","Pinault","François","France","87"
"29","Klaus-Michael Kuehne","M","1937-06-02 00:00:00","Kuehne","Klaus-Michael","Germany","86"
"30","Giovanni Ferrero","M","1964-09-21 00:00:00","Ferrero","Giovanni","Italy","59"
"31","Jacqueline Mars","F","1939-10-10 00:00:00","Mars","Jacqueline","United States","84"
"32","John Mars","M","1935-10-15 00:00:00","Mars","John","United States","88"
