rank,finalWorth,category,personName,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,cpi_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age as of 1 Jan 2023
1,211000,Fashion & Retail,Bernard Arnault & family,France,Paris,LVMH,Fashion & Retail,France,False,U,M,1949-03-05 00:00:00,Arnault,Bernard,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,74
2,180000,Automotive,Elon Musk,United States,"Washington, D.C.","Tesla, SpaceX",Automotive,United States,True,D,M,1971-06-28 00:00:00,Musk,Elon,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,52
3,114000,Technology,Jeff Bezos,United States,"Washington, D.C.",Amazon,Technology,United States,True,D,M,1964-01-12 00:00:00,Bezos,Jeff,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,59
4,107000,Technology,Larry Ellison,United States,"Washington, D.C.",Oracle,Technology,United States,True,U,M,1944-08-17 00:00:00,Ellison,Larry,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
5,106000,Finance & Investments,Warren Buffett,United States,"Washington, D.C.",Berkshire Hathaway,Finance & Investments,United States,True,D,M,1930-08-30 00:00:00,Buffett,Warren,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,93
6,104000,Technology,Bill Gates,United States,"Washington, D.C.",Microsoft,Technology,United States,True,D,M,1955-10-28 00:00:00,Gates,Bill,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,68
7,94500,Media & Entertainment,Michael Bloomberg,United States,"Washington, D.C.",Bloomberg LP,Media & Entertainment,United States,True,U,M,1942-02-14 00:00:00,Bloomberg,Michael,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,81
8,93000,Telecom,Carlos Slim Helu & family,Mexico,Mexico City,Telecom,Telecom,Mexico,True,U,M,1940-01-28 00:00:00,Slim Helu,Carlos,4/4/2023 5:01,141.54,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,83
9,83400,Diversified,Mukesh Ambani,India,New Delhi,Diversified,Diversified,India,False,D,M,1957-04-19 00:00:00,Ambani,Mukesh,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,66
10,80700,Technology,Steve Ballmer,United States,"Washington, D.C.",Microsoft,Technology,United States,True,D,M,1956-03-24 00:00:00,Ballmer,Steve,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,67
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,France,Paris,L'Oréal,Fashion & Retail,France,False,U,F,1953-07-10 00:00:00,Bettencourt Meyers,Francoise,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,70
12,79200,Technology,Larry Page,United States,"Washington, D.C.",Google,Technology,United States,True,D,M,1973-03-26 00:00:00,Page,Larry,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50
13,77300,Fashion & Retail,Amancio Ortega,Spain,Madrid,Zara,Fashion & Retail,Spain,True,U,M,1936-03-28 00:00:00,Ortega,Amancio,4/4/2023 5:01,110.96,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,87
14,76000,Technology,Sergey Brin,United States,"Washington, D.C.",Google,Technology,United States,True,D,M,1973-08-21 00:00:00,Brin,Sergey,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50
15,68000,Food & Beverage,Zhong Shanshan,China,Beijing,"Beverages, pharmaceuticals",Food & Beverage,China,True,U,M,1954-12-01 00:00:00,Zhong,Shanshan,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,69
16,64400,Technology,Mark Zuckerberg,United States,"Washington, D.C.",Facebook,Technology,United States,True,D,M,1984-05-14 00:00:00,Zuckerberg,Mark,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,39
17,59000,Diversified,Charles Koch & family,United States,"Washington, D.C.",Koch Industries,Diversified,United States,False,D,M,1935-11-01 00:00:00,Koch,Charles,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,88
17,59000,Diversified,Julia Koch & family,United States,"Washington, D.C.",Koch Industries,Diversified,United States,False,D,F,1962-04-12 00:00:00,Koch,Julia,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,61
19,58800,Fashion & Retail,Jim Walton,United States,"Washington, D.C.",Walmart,Fashion & Retail,United States,False,D,M,1948-06-07 00:00:00,Walton,Jim,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,75
20,57600,Fashion & Retail,Rob Walton & family,United States,"Washington, D.C.",Walmart,Fashion & Retail,United States,False,D,M,1944-10-27 00:00:00,Walton,Rob,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
